epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.025,0,103.532,0,0,0,0,0,0,199.095,0,0.000546847,0.000546847,0.000546847
2,779.79,0,75.1169,0,0,0,0,0,0,126.327,0,0.00108068,0.00108068,0.00108068
3,1138.44,0,55.5826,0,0,0,0,0,0,107.647,0,0.00159252,0.00159252,0.00159252
4,1514.05,0,35.7341,0,0,0,0,0,0,107.3,0,0.00156798,0.00156798,0.00156798
5,1852.76,0,19.9133,0,0,0,0,0,0,42.1444,0,0.00153497,0.00153497,0.00153497
6,2151.73,0,10.2411,0,0,0,0,0,0,14.497,0,0.00150197,0.00150197,0.00150197
7,2440.9,0,4.79917,0,0,0,0,0,0,6.70102,0,0.00146896,0.00146896,0.00146896
8,2773.54,0,2.08507,0,0,0,0,0,0,2.40132,0,0.00143595,0.00143595,0.00143595
9,3140.54,0,0.86241,0,0,0,0,0,0,0.92617,0,0.00140295,0.00140295,0.00140295
10,3492.23,0,0.35665,0,0,0,0,0,0,0.40932,0,0.00136994,0.00136994,0.00136994
11,3851.54,0,0.11883,0,0,0,0,0,0,0.0905,0,0.00133693,0.00133693,0.00133693
12,4186.11,0,0.04309,0,0,0,0,0,0,0.02678,0,0.00130393,0.00130393,0.00130393
13,4546.32,0,0.01596,0,0,0,0,0,0,0.01195,0,0.00127092,0.00127092,0.00127092
14,4878.39,0,0.00611,0,0,0,0,0,0,0.01184,0,0.00123791,0.00123791,0.00123791
15,5245.6,0,0.00602,0,0,0,0,0,0,0.01132,0,0.00120491,0.00120491,0.00120491
16,5599.21,0,0.00407,0,0,0,0,0,0,0.00614,0,0.0011719,0.0011719,0.0011719
17,5937.69,0,0.00045,0,0,0,0,0,0,3e-05,0,0.00113889,0.00113889,0.00113889
18,6342.87,0,1e-05,0,0,0,0,0,0,1e-05,0,0.00110589,0.00110589,0.00110589
19,6835.23,0,0,0,0,0,0,0,0,0.28613,0,0.00107288,0.00107288,0.00107288
20,7321.91,0,0,0,0,0,0,0,0,0.03921,0,0.00103987,0.00103987,0.00103987
21,7752.64,0,0,0,0,0,0,0,0,0,0,0.00100687,0.00100687,0.00100687
22,8175.25,0,0,0,0,0,0,0,0,0.00188,0,0.000973861,0.000973861,0.000973861
23,8588.3,0,0,0,0,0,0,0,0,0,0,0.000940855,0.000940855,0.000940855
24,8983.97,0,0,0,0,0,0,0,0,2e-05,0,0.000907848,0.000907848,0.000907848
25,9395.43,0,0,0,0,0,0,0,0,0,0,0.000874842,0.000874842,0.000874842
26,9704.51,0,0,0,0,0,0,0,0,0,0,0.000841835,0.000841835,0.000841835
27,10025.1,0,0,0,0,0,0,0,0,0.00011,0,0.000808828,0.000808828,0.000808828
28,10317.4,0,0,0,0,0,0,0,0,0,0,0.000775822,0.000775822,0.000775822
29,10607.5,0,0,0,0,0,0,0,0,0,0,0.000742815,0.000742815,0.000742815
30,10902.2,0,0,0,0,0,0,0,0,0.00248,0,0.000709809,0.000709809,0.000709809
31,11192.6,0,0,0,0,0,0,0,0,0.00025,0,0.000676802,0.000676802,0.000676802
32,11480.2,0,0,0,0,0,0,0,0,0.3161,0,0.000643795,0.000643795,0.000643795
33,11770.6,0,0,0,0,0,0,0,0,4e-05,0,0.000610789,0.000610789,0.000610789
34,12056.1,0,0,0,0,0,0,0,0,0,0,0.000577782,0.000577782,0.000577782
35,12346.8,0,0,0,0,0,0,0,0,2e-05,0,0.000544776,0.000544776,0.000544776
36,12644,0,0,0,0,0,0,0,0,0,0,0.000511769,0.000511769,0.000511769
37,12926.4,0,0,0,0,0,0,0,0,0,0,0.000478762,0.000478762,0.000478762
38,13209,0,0,0,0,0,0,0,0,0,0,0.000445756,0.000445756,0.000445756
39,13490.9,0,0,0,0,0,0,0,0,0,0,0.000412749,0.000412749,0.000412749
40,13771.3,0,0,0,0,0,0,0,0,0,0,0.000379743,0.000379743,0.000379743
41,14052.5,0,0,0,0,0,0,0,0,0.00048,0,0.000346736,0.000346736,0.000346736
42,14333.3,0,0,0,0,0,0,0,0,1e-05,0,0.000313729,0.000313729,0.000313729
43,14619.1,0,0,0,0,0,0,0,0,0,0,0.000280723,0.000280723,0.000280723
44,14899.7,0,0,0,0,0,0,0,0,5e-05,0,0.000247716,0.000247716,0.000247716
45,15178.7,0,0,0,0,0,0,0,0,1e-05,0,0.00021471,0.00021471,0.00021471
46,15469.7,0,0,0,0,0,0,0,0,0.0002,0,0.000181703,0.000181703,0.000181703
47,15754,0,0,0,0,0,0,0,0,0.46228,0,0.000148696,0.000148696,0.000148696
48,16036.3,0,0,0,0,0,0,0,0,0,0,0.00011569,0.00011569,0.00011569
49,16319,0,0,0,0,0,0,0,0,1e-05,0,8.26832e-05,8.26832e-05,8.26832e-05
50,16600.6,0,0,0,0,0,0,0,0,2e-05,0,4.96766e-05,4.96766e-05,4.96766e-05
