epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,108.302,0.3181,0.98512,1,0.03986,0.000550876,0.000550876,0.000550876
2,198.544,0.09869,0.98512,1,0.05502,0.00108463,0.00108463,0.00108463
3,291.849,0.14526,0.99405,1,0.03553,0.00159639,0.00159639,0.00159639
4,379.643,0.20936,0.96726,1,0.10783,0.00156798,0.00156798,0.00156798
5,464.434,0.15573,0.95536,1,0.10766,0.00153497,0.00153497,0.00153497
6,554.973,0.12936,0.98512,1,0.05465,0.00150197,0.00150197,0.00150197
7,643.992,0.12477,0.99107,1,0.0235,0.00146896,0.00146896,0.00146896
8,734.581,0.08976,0.99702,1,0.02794,0.00143595,0.00143595,0.00143595
9,823.914,0.03779,0.99405,1,0.01314,0.00140295,0.00140295,0.00140295
10,913.495,0.04977,0.99702,1,0.01771,0.00136994,0.00136994,0.00136994
11,998.693,0.0635,0.9881,1,0.04018,0.00133693,0.00133693,0.00133693
12,1083.74,0.05062,0.97917,1,0.06805,0.00130393,0.00130393,0.00130393
13,1169.55,0.04704,0.99405,1,0.01795,0.00127092,0.00127092,0.00127092
14,1253.01,0.04198,0.99702,1,0.01392,0.00123791,0.00123791,0.00123791
15,1338.24,0.04273,0.99405,1,0.01351,0.00120491,0.00120491,0.00120491
16,1437.83,0.05014,0.99702,1,0.01132,0.0011719,0.0011719,0.0011719
17,1532.83,0.03749,0.99702,1,0.01026,0.00113889,0.00113889,0.00113889
18,1624.23,0.03222,0.99107,1,0.01763,0.00110589,0.00110589,0.00110589
19,1713.14,0.044,0.99702,1,0.01298,0.00107288,0.00107288,0.00107288
20,1815.12,0.025,1,1,0.00622,0.00103987,0.00103987,0.00103987
21,1932.99,0.0114,0.99702,1,0.00564,0.00100687,0.00100687,0.00100687
22,2037.27,0.00912,0.99405,1,0.00833,0.000973861,0.000973861,0.000973861
23,2144.14,0.01895,0.99702,1,0.00774,0.000940855,0.000940855,0.000940855
24,2247.89,0.02047,1,1,0.00242,0.000907848,0.000907848,0.000907848
25,2351.07,0.03736,0.99702,1,0.0085,0.000874842,0.000874842,0.000874842
26,2454.27,0.0281,1,1,0.00367,0.000841835,0.000841835,0.000841835
27,2561.62,0.02001,1,1,0.00273,0.000808828,0.000808828,0.000808828
28,2667.55,0.02335,1,1,0.00569,0.000775822,0.000775822,0.000775822
29,2771.81,0.02006,1,1,0.00305,0.000742815,0.000742815,0.000742815
30,2876.89,0.02909,0.99405,1,0.01079,0.000709809,0.000709809,0.000709809
31,2980.89,0.02345,1,1,0.00145,0.000676802,0.000676802,0.000676802
32,3067.94,0.00998,1,1,0.00089,0.000643795,0.000643795,0.000643795
33,3151.11,0.00852,0.99702,1,0.00682,0.000610789,0.000610789,0.000610789
34,3234.48,0.01654,1,1,0.00299,0.000577782,0.000577782,0.000577782
35,3317.36,0.01242,1,1,0.00112,0.000544776,0.000544776,0.000544776
36,3401.88,0.00943,1,1,0.00109,0.000511769,0.000511769,0.000511769
37,3485.12,0.00913,1,1,0.00105,0.000478762,0.000478762,0.000478762
38,3568.69,0.00665,1,1,0.00166,0.000445756,0.000445756,0.000445756
39,3651.12,0.01106,0.99702,1,0.0047,0.000412749,0.000412749,0.000412749
40,3732.95,0.00929,1,1,0.00103,0.000379743,0.000379743,0.000379743
41,3814.72,0.00961,1,1,0.00287,0.000346736,0.000346736,0.000346736
42,3904.72,0.01028,1,1,0.00235,0.000313729,0.000313729,0.000313729
43,3994.82,0.01045,1,1,0.00092,0.000280723,0.000280723,0.000280723
44,4091.5,0.0056,1,1,0.0007,0.000247716,0.000247716,0.000247716
45,4178.59,0.00408,1,1,0.00184,0.00021471,0.00021471,0.00021471
46,4264.39,0.00371,1,1,0.00076,0.000181703,0.000181703,0.000181703
47,4354.7,0.00748,1,1,0.00053,0.000148696,0.000148696,0.000148696
48,4443.63,0.00327,1,1,0.00043,0.00011569,0.00011569,0.00011569
49,4537.62,0.00543,1,1,0.00048,8.26832e-05,8.26832e-05,8.26832e-05
50,4641.64,0.0063,1,1,0.00033,4.96766e-05,4.96766e-05,4.96766e-05
