epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.1411,0.37566,0.97024,1,0.1268,0.000550876,0.000550876,0.000550876
2,122.871,0.13461,0.91071,1,0.2505,0.00108463,0.00108463,0.00108463
3,193.287,0.1434,0.97321,1,0.06818,0.00159639,0.00159639,0.00159639
4,266.455,0.15578,0.95833,1,0.10689,0.00156798,0.00156798,0.00156798
5,338.661,0.15094,0.97917,1,0.04261,0.00153497,0.00153497,0.00153497
6,409.834,0.11265,0.94643,1,0.19562,0.00150197,0.00150197,0.00150197
7,483.062,0.11808,0.97917,1,0.05797,0.00146896,0.00146896,0.00146896
8,559.269,0.11338,0.97619,1,0.08841,0.00143595,0.00143595,0.00143595
9,630.164,0.06956,0.9881,1,0.04661,0.00140295,0.00140295,0.00140295
10,707.255,0.06905,0.99107,1,0.02597,0.00136994,0.00136994,0.00136994
11,783.164,0.05729,0.99405,1,0.01357,0.00133693,0.00133693,0.00133693
12,862.481,0.05084,0.99702,1,0.01174,0.00130393,0.00130393,0.00130393
13,936.984,0.06936,0.99702,1,0.02114,0.00127092,0.00127092,0.00127092
14,1008.42,0.0426,0.99405,1,0.01107,0.00123791,0.00123791,0.00123791
15,1081.21,0.05302,0.99405,1,0.00876,0.00120491,0.00120491,0.00120491
16,1155.18,0.0354,0.99702,1,0.01022,0.0011719,0.0011719,0.0011719
17,1226.37,0.0441,1,1,0.00493,0.00113889,0.00113889,0.00113889
18,1307.59,0.04009,0.99702,1,0.00812,0.00110589,0.00110589,0.00110589
19,1387.44,0.04154,1,1,0.00484,0.00107288,0.00107288,0.00107288
20,1465.86,0.0467,0.99702,1,0.01438,0.00103987,0.00103987,0.00103987
21,1536.38,0.04066,0.99702,1,0.01005,0.00100687,0.00100687,0.00100687
22,1601.41,0.03844,0.99702,1,0.00585,0.000973861,0.000973861,0.000973861
23,1664.99,0.03189,0.99702,1,0.00817,0.000940855,0.000940855,0.000940855
24,1730.01,0.02143,1,1,0.00382,0.000907848,0.000907848,0.000907848
25,1794.43,0.02597,0.99702,1,0.00367,0.000874842,0.000874842,0.000874842
26,1858.77,0.02017,0.99702,1,0.00405,0.000841835,0.000841835,0.000841835
27,1924.13,0.01952,1,1,0.00239,0.000808828,0.000808828,0.000808828
28,1988.46,0.01247,0.99702,1,0.00408,0.000775822,0.000775822,0.000775822
29,2054.51,0.02096,1,1,0.00116,0.000742815,0.000742815,0.000742815
30,2120.35,0.03355,1,1,0.00305,0.000709809,0.000709809,0.000709809
31,2185.44,0.02118,0.99702,1,0.025,0.000676802,0.000676802,0.000676802
32,2238.09,0.0139,1,1,0.00236,0.000643795,0.000643795,0.000643795
33,2284.35,0.01169,1,1,0.00248,0.000610789,0.000610789,0.000610789
34,2335.21,0.01296,1,1,0.00205,0.000577782,0.000577782,0.000577782
35,2381.46,0.01527,1,1,0.00121,0.000544776,0.000544776,0.000544776
36,2432.85,0.02009,1,1,0.00089,0.000511769,0.000511769,0.000511769
37,2496.47,0.0371,1,1,0.00068,0.000478762,0.000478762,0.000478762
38,2552.97,0.01064,1,1,0.00118,0.000445756,0.000445756,0.000445756
39,2610.52,0.00667,1,1,0.00047,0.000412749,0.000412749,0.000412749
40,2671.06,0.01102,1,1,0.00131,0.000379743,0.000379743,0.000379743
41,2729.88,0.00405,1,1,0.00083,0.000346736,0.000346736,0.000346736
42,2786.31,0.00416,1,1,0.00052,0.000313729,0.000313729,0.000313729
43,2842.21,0.00685,1,1,0.00052,0.000280723,0.000280723,0.000280723
44,2901.32,0.0084,1,1,0.00034,0.000247716,0.000247716,0.000247716
45,2962.84,0.00662,1,1,0.00028,0.00021471,0.00021471,0.00021471
46,3020.41,0.00919,1,1,0.00013,0.000181703,0.000181703,0.000181703
47,3077.46,0.01092,1,1,0.00021,0.000148696,0.000148696,0.000148696
48,3133.18,0.00617,1,1,0.00031,0.00011569,0.00011569,0.00011569
49,3189.3,0.00776,1,1,0.00021,8.26832e-05,8.26832e-05,8.26832e-05
50,3245.98,0.01155,1,1,0.00024,4.96766e-05,4.96766e-05,4.96766e-05
