epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
79,7120.72,0.00508,1,1,0.00051,0.000379743,0.000379743,0.000379743
80,7201.05,0.00446,1,1,0.00063,0.000363239,0.000363239,0.000363239
81,7281.35,0.00172,1,1,0.00047,0.000346736,0.000346736,0.000346736
82,7361.73,0.00263,1,1,0.00084,0.000330233,0.000330233,0.000330233
83,7442.09,0.00395,1,1,0.00048,0.000313729,0.000313729,0.000313729
84,7522.55,0.00304,1,1,0.00035,0.000297226,0.000297226,0.000297226
85,7604.64,0.00995,1,1,0.00038,0.000280723,0.000280723,0.000280723
86,7688.78,0.00548,1,1,0.00039,0.00026422,0.00026422,0.00026422
87,7771.44,0.00404,1,1,0.00034,0.000247716,0.000247716,0.000247716
88,7853.44,0.0015,1,1,0.00048,0.000231213,0.000231213,0.000231213
89,7935.23,0.00327,1,1,0.00061,0.00021471,0.00021471,0.00021471
90,8016.66,0.00179,1,1,0.00034,0.000198206,0.000198206,0.000198206
91,8098.08,0.00197,1,1,0.00027,0.000181703,0.000181703,0.000181703
92,8179.28,0.00188,1,1,0.00029,0.0001652,0.0001652,0.0001652
93,8260.29,0.00288,1,1,0.0002,0.000148696,0.000148696,0.000148696
94,8340.89,0.00286,1,1,0.00021,0.000132193,0.000132193,0.000132193
95,8421.57,0.00182,1,1,0.0002,0.00011569,0.00011569,0.00011569
96,8502.4,0.00488,1,1,0.00014,9.91865e-05,9.91865e-05,9.91865e-05
97,8583.98,0.00302,1,1,0.00023,8.26832e-05,8.26832e-05,8.26832e-05
98,8664.91,0.00158,1,1,0.00019,6.61799e-05,6.61799e-05,6.61799e-05
99,8745.96,0.00916,1,1,0.00021,4.96766e-05,4.96766e-05,4.96766e-05
100,8827.08,0.00217,1,1,0.00021,3.31733e-05,3.31733e-05,3.31733e-05
